$ ION e  He [+0] (G)  e  He [+1] (G) e                                     
& RC FUJIMOTO CODE 2.3.9A #INTERP2D                                        
 65 1.0E+00 1.0E+04  2
 30 1.0E+08 1.0E+16  2
 4.8076709138802E-19    1.1825371555516E-17     1.8978481249837E-16
 2.1026085196942E-15    1.6888547784105E-14     1.0266189753774E-13
 4.9044449057511E-13    1.9032241060923E-12     6.1751610769267E-12
 1.7177337677254E-11    4.1863620209304E-11     9.1078977693115E-11
 1.7976382882257E-10    3.2636682245624E-10     5.5155158218412E-10
 8.7648155400188E-10    1.3210135207942E-09     1.9020358621447E-09
 2.6320678969682E-09    3.5181253466021E-09     4.5608778975748E-09
 5.7540905373799E-09    7.0844388133651E-09     8.5318108133947E-09
 1.0070083433789E-08    1.1668376487250E-08     1.3292739353687E-08
 1.4908025036675E-08    1.6479804187952E-08     1.7976141464260E-08
 1.9369041481809E-08    2.0635434694327E-08     2.1757793788879E-08
 2.2724261583562E-08    2.3528318848776E-08     2.4168533840907E-08
 2.4647567542502E-08    2.4971619438929E-08     2.5149526905466E-08
 2.5192063546342E-08    2.5111212664797E-08     2.4919609487029E-08
 2.4630063322206E-08    2.4255175645749E-08     2.3807043447732E-08
 2.3297131335198E-08    2.2736049487548E-08     2.2133514576694E-08
 2.1498406610476E-08    2.0838569980697E-08     2.0161076363934E-08
 1.9472141232768E-08    1.8777134513925E-08     1.8080791974739E-08
 1.7387122852597E-08    1.6699587490621E-08     1.6021068915961E-08
 1.5354014948343E-08    1.4700432870995E-08     1.4061921405073E-08
 1.3439817259098E-08    1.2835116081078E-08     1.2248595915310E-08
 1.1680798550628E-08    1.1132095245614E-08
 4.9900761296694E-19    1.2237461356162E-17     1.9579247308611E-16
 2.1623228601680E-15    1.7313494049347E-14     1.0492717534682E-13
 4.9986674955510E-13    1.9349231418497E-12     6.2642590767381E-12
 1.7392485021639E-11    4.2320359022741E-11     9.1948643143880E-11
 1.8127326029127E-10    3.2878852418428E-10     5.5518367680918E-10
 8.8162338540698E-10    1.3279389809995E-09     1.9109702709130E-09
 2.6431725697051E-09    3.5314873247927E-09     4.5765049527802E-09
 5.7719198309769E-09    7.1043433358398E-09     8.5536218108473E-09
 1.0093571312098E-08    1.1693299661886E-08     1.3318837588372E-08
 1.4935011449779E-08    1.6507422984091E-08     1.8004149282547E-08
 1.9397166539648E-08    2.0663481592464E-08     2.1785547588138E-08
 2.2751526884690E-08    2.3554973083151E-08     2.4194422465484E-08
 2.4672580423157E-08    2.4995678415962E-08     2.5172568030030E-08
 2.5214044185873E-08    2.5132091963087E-08     2.4939392773149E-08
 2.4648754148870E-08    2.4272756249388E-08     2.3823567119052E-08
 2.3312606955983E-08    2.2750517914005E-08     2.2147023770458E-08
 2.1510979664185E-08    2.0850281501339E-08     2.0171963655002E-08
 1.9482254032255E-08    1.8786513678037E-08     1.8089483688755E-08
 1.7395183959934E-08    1.6707048189346E-08     1.6027987825851E-08
 1.5360427596534E-08    1.4706367679196E-08     1.4067438769416E-08
 1.3444929614082E-08    1.2839872276516E-08     1.2253010162055E-08
 1.1684915257604E-08    1.1135937505458E-08
 5.2325274200997E-19    1.2773646446663E-17     2.0341860187782E-16
 2.2361847684432E-15    1.7826236973638E-14     1.0759829035785E-13
 5.1074417048089E-13    1.9708371219729E-12     6.3635928124195E-12
 1.7628860177199E-11    4.2816052786554E-11     9.2882888880208E-11
 1.8288177916492E-10    3.3135255650407E-10     5.5901133722003E-10
 8.8702495348869E-10    1.3352023930935E-09     1.9203385548394E-09
 2.6548283571515E-09    3.5455423041952E-09     4.5929966496772E-09
 5.7908184913913E-09    7.1255614741972E-09     8.5769977786754E-09
 1.0118926141445E-08    1.1720403314541E-08     1.3347439598022E-08
 1.4964864902822E-08    1.6538264091537E-08     1.8035693827301E-08
 1.9429178266250E-08    2.0695706481888E-08     2.1817756490350E-08
 2.2783511965940E-08    2.3586553155042E-08     2.4225419892332E-08
 2.4702860201842E-08    2.5025103767007E-08     2.5201060793734E-08
 2.5241487122685E-08    2.5158458427654E-08     2.4964620592982E-08
 2.4672798915049E-08    2.4295625067339E-08     2.3845252883348E-08
 2.3333123877478E-08    2.2769890861696E-08     2.2165295376908E-08
 2.1528155258466E-08    2.0866412597798E-08     2.0187091109847E-08
 1.9496404490837E-08    1.8799761747346E-08     1.8101863119568E-08
 1.7406740937531E-08    1.6717841333502E-08     1.6038052663703E-08
 1.5369820971500E-08    1.4715135776555E-08     1.4075616228126E-08
 1.3452559954885E-08    1.2847006125583E-08     1.2259671500203E-08
 1.1691146717396E-08    1.1141770173140E-08
 5.5232974320364E-19    1.3395025349994E-17     2.1197143765338E-16
 2.3165472310722E-15    1.8369295207111E-14     1.1035902145471E-13
 5.2174280520956E-13    2.0065091081711E-12     6.4606683718160E-12
 1.7856924272586E-11    4.3289240247990E-11     9.3766994169187E-11
 1.8439343107968E-10    3.3374988883672E-10     5.6257665193016E-10
 8.9204515996144E-10    1.3419449995666E-09     1.9290358199697E-09
 2.6656610252473E-09    3.5586356084139E-09     4.6084132065971E-09
 5.8085594112356E-09    7.1455712458146E-09     8.5991835874211E-09
 1.0143142326058E-08    1.1746477568408E-08     1.3375174745534E-08
 1.4994043340266E-08    1.6568655780702E-08     1.8067085605367E-08
 1.9461328548687E-08    2.0728391447733E-08     2.1850766529496E-08
 2.2816633915568E-08    2.3619589839541E-08     2.4258186570592E-08
 2.4735197001746E-08    2.5056912988930E-08     2.5232164801992E-08
 2.5271853942854E-08    2.5187935293047E-08     2.4993140002039E-08
 2.4700327116989E-08    2.4322124758669E-08     2.3870692089645E-08
 2.3357481282460E-08    2.2793154030865E-08     2.2187466086621E-08
 2.1549256601361E-08    2.0886451679303E-08     2.0206107009813E-08
 1.9514414972832E-08    1.8816807667577E-08     1.8117965794318E-08
 1.7421955433861E-08    1.6732192520408E-08     1.6051595608246E-08
 1.5382582319035E-08    1.4727158159644E-08     1.4086938726621E-08
 1.3463235859490E-08    1.2857054976223E-08     1.2269151028477E-08
 1.1700077351406E-08    1.1150185663666E-08
 5.8260403663520E-19    1.4019113269830E-17     2.2030708888731E-16
 2.3929976720343E-15    1.8874424999272E-14     1.1288151267668E-13
 5.3165409357944E-13    2.0382578003880E-12     6.5463121035059E-12
 1.8056764417018E-11    4.3701764429471E-11     9.4534970129789E-11
 1.8570313342625E-10    3.3582392422460E-10     5.6565951922494E-10
 8.9638629852118E-10    1.3477825522301E-09     1.9365786751990E-09
 2.6750803794329E-09    3.5700522538207E-09     4.6219055249708E-09
 5.8241544920179E-09    7.1632495490803E-09     8.6188833847700E-09
 1.0164769470578E-08    1.1769913044191E-08     1.3400262233176E-08
 1.5020635402152E-08    1.6596555241222E-08     1.8096097065268E-08
 1.9491272595928E-08    2.0759085117561E-08     2.1881994882733E-08
 2.2848235303741E-08    2.3651372416111E-08     2.4290011779726E-08
 2.4766906747686E-08    2.5088326083278E-08     2.5263206637760E-08
 2.5302368200641E-08    2.5217874011219E-08     2.5022409033681E-08
 2.4728864289614E-08    2.4349873228857E-08     2.3897607448475E-08
 2.3383524450082E-08    2.2818332112706E-08     2.2211743555545E-08
 2.1572621022869E-08    2.0908911935180E-08     2.0227654218274E-08
 1.9535098871870E-08    1.8836589177340E-08     1.8136912416367E-08
