$ ION e  He [+0] (G)  e  He [+1] (G) e
& RC GOTO CODE 2.3.9A #INTERP2D
 65 1.0e+00 1.0e+04  2
 30 1.0e+08 1.0e+16  2
 1.7259701251376e-19    4.8360276433797e-18     8.7848635832726e-17
 1.0918140310384e-15    9.7370824406210e-15     6.4924089816281e-14
 3.3559533665801e-13    1.3891162413279e-12     4.7410449391958e-12
 1.3698532648708e-11    3.4307038531204e-11     7.6042609115026e-11
 1.5191418835912e-10    2.7786007716004e-10     4.7159293955771e-10
 7.5120411067361e-10    1.1338198959399e-09     1.6344666634106e-09
 2.2651538810742e-09    3.0341050395811e-09     3.9450747743273e-09
 4.9967545967429e-09    6.1823388770151e-09     7.4893580602123e-09
 8.8998736904331e-09    1.0391078980030e-08     1.1936281190788e-08
 1.3506178040158e-08    1.5070305179098e-08     1.6598504716575e-08
 1.8062290664028e-08    1.9436002701099e-08     2.0697683045016e-08
 2.1829647670976e-08    2.2818756834812e-08     2.3656415577995e-08
 2.4338350807366e-08    2.4864219878973e-08     2.5237105873641e-08
 2.5462950576776e-08    2.5549968534363e-08     2.5508076497781e-08
 2.5348363298718e-08    2.5082616611608e-08     2.4722915685608e-08
 2.4281293194178e-08    2.3769464878378e-08     2.3198622532968e-08
 2.2579283911512e-08    2.1921192086080e-08     2.1233256468942e-08
 2.0523527885186e-08    1.9799200615906e-08     1.9066635056671e-08
 1.8331395471390e-08    1.7598298173542e-08     1.6871466289924e-08
 1.6154388022114e-08    1.5449975996857e-08     1.4760625882045e-08
 1.4088272938878e-08    1.3434445587987e-08     1.2800315395465e-08
 1.2186743143293e-08    1.1594320847217e-08
 1.8190623851801e-19    5.0644900060405e-18     9.1470796938224e-17
 1.1309091774197e-15    1.0038017302868e-14     6.6644299434762e-14
 3.4316907663961e-13    1.4156796247298e-12     4.8176164917005e-12
 1.3885220492385e-11    3.4702044963497e-11     7.6784415516503e-11
 1.5317452070476e-10    2.7982855249360e-10     4.7445685846416e-10
 7.5512785057976e-10    1.1389278908837e-09     1.6408325766155e-09
 2.2727968909368e-09    3.0429926557490e-09     3.9551305789067e-09
 5.0078688621303e-09    6.1943800760836e-09     7.5021836884014e-09
 8.9133393735072e-09    1.0405045388734e-08     1.1950618725004e-08
 1.3520769539112e-08    1.5085047063344e-08     1.6613307000780e-08
 1.8077076236125e-08    1.9450706180124e-08     2.0712249438395e-08
 2.1844030970536e-08    2.2832918631431e-08     2.3670323738729e-08
 2.4351978243055e-08    2.4877543427877e-08     2.5250105329446e-08
 2.5475607891226e-08    2.5562267220866e-08     2.5520001251576e-08
 2.5359899832735e-08    2.5093751688255e-08     2.4733637307193e-08
 2.4291590901904e-08    2.3779330103909e-08     2.3208048947971e-08
 2.2588267728210e-08    2.1929732273954e-08     2.1241354866758e-08
 2.0531189201377e-08    1.9806432322254e-08     1.9073447189259e-08
 1.8337800358450e-08    1.7604310112349e-08     1.6877101194811e-08
 1.6159663063657e-08    1.5454909249052e-08     1.4765235990525e-08
 1.4092578819370e-08    1.3438466160681e-08     1.2804069357933e-08
 1.2190248782190e-08    1.1597595887196e-08
 1.9397672247175e-19    5.3527553165059e-18     9.5924697126758e-17
 1.1778393684780e-15    1.0391374666139e-14     6.8624315496178e-14
 3.5173436879551e-13    1.4452668571130e-12     4.9018216083819e-12
 1.4088398716695e-11    3.5128464798203e-11     7.7580373306316e-11
 1.5452112060407e-10    2.8192610516455e-10     4.7750433512963e-10
 7.5930180746866e-10    1.1443648689581e-09     1.6476176698396e-09
 2.2809595149165e-09    3.0525090163525e-09     3.9659312613351e-09
 5.0198494617823e-09    6.2074128240715e-09     7.5161284236586e-09
 8.9280527841756e-09    1.0420388019168e-08     1.1966459711220e-08
 1.3536989346753e-08    1.5101538658455e-08     1.6629975914775e-08
 1.8093839934394e-08    1.9467493048963e-08     2.0728997602347e-08
 2.1860687062162e-08    2.2849436571830e-08     2.3686663551257e-08
 2.4368104911371e-08    2.4893425814835e-08     2.5265715185795e-08
 2.5490918994590e-08    2.5577254689485e-08     2.5534641071141e-08
 2.5374168618872e-08    2.5107626685073e-08     2.4747096598224e-08
 2.4304613788803e-08    2.3791897593721e-08     2.3220144283794e-08
 2.2599876900529e-08    2.1940844459475e-08     2.1251962755791e-08
 2.0541289190836e-08    1.9816024567161e-08     1.9082535519025e-08
 1.8346392074362e-08    1.7612415689195e-08     1.6884733912567e-08
 1.6166838595297e-08    1.5461645228502e-08     1.4771551581343e-08
 1.4098494300612e-08    1.3444002542129e-08     1.2809248032831e-08
 1.2195091222104e-08    1.1602123380705e-08
 2.0815146799634e-19    5.6814221897914e-18     1.0087368588255e-16
 1.2288478268290e-15    1.0768379444131e-14     7.0704902107232e-14
 3.6062618223923e-13    1.4756984883320e-12     4.9878523355138e-12
