					Atomic #	Mass (AMU)	Density (g/cc)		
Incident	ion	atomic	#/mass	:	1	2.0141			
Target	atomic	#/mass/density	:		3	6.941	0.534		
Bond	Energy	:	0.167	Surface	Binding	Energy:	1.67		
Theta=0 deg									
	E[eV]	Rn	s[Rn]	Yn	s[Yn]	Re	Ye	EmeanR	EmeanY
	1	0.0629	0	0	0	0.0168	0	0.27	0
	2	0.0908	0	0	0	0.0221	0	0.49	0
	5	0.1493	0	0	0	0.0346	0	1.16	0
	10	0.1568	0	0.0013	0	0.0388	0.0001	2.48	1.07
	20	0.1613	0	0.0103	0	0.0418	0.0008	5.18	1.62
	50	0.153	0	0.0272	0	0.0398	0.0018	12.99	3.22
	100	0.1387	0	0.0488	0	0.0359	0.0023	25.88	4.76
	200	0.0939	0	0.0449	0	0.0239	0.0018	50.93	8.23
	300	0.0746	0	0.0473	0	0.0184	0.0015	73.84	9.46
	500	0.0509	0	0.0374	0	0.0124	0.0008	121.51	11.25
	1000	0.0221	0	0.0264	0	0.0044	0.0004	197.24	15.2

Theta=30 deg									
	E[eV]	Rn	s[Rn]	Yn	s[Yn]	Re	Ye	EmeanR	EmeanY
	1	0.0977	0	0	0	0.0318	0	0.33	0
	2	0.1263	0	0	0	0.0362	0	0.57	0
	5	0.1786	0	0	0	0.0508	0	1.42	0
	10	0.1966	0	0.0021	0	0.058	0.0002	2.95	0.86
	20	0.2019	0	0.0139	0	0.0625	0.0013	6.19	1.91
	50	0.1826	0	0.0462	0	0.0546	0.0032	14.94	3.48
	100	0.17	0	0.0728	0	0.05	0.004	29.4	5.48
	200	0.1411	0	0.0943	0	0.0425	0.0036	60.24	7.65
	300	0.114	0	0.0747	0	0.0331	0.0025	87.09	10.17
	500	0.0817	0	0.0627	0	0.0226	0.0014	138.04	11.01
	1000	0.0401	0	0.0423	0	0.0097	0.0008	241.16	17.84

Theta=45 deg									
	E[eV]	Rn	s[Rn]	Yn	s[Yn]	Re	Ye	EmeanR	EmeanY
	1	0.0972	0	0	0	0.0378	0	0.39	0
	2	0.133	0	0	0	0.0425	0	0.64	0
	5	0.1764	0	0.0001	0	0.0539	0	1.53	0.36
	10	0.2125	0	0.0022	0	0.0684	0.0002	3.22	0.77
	20	0.2046	0	0.0207	0	0.067	0.0019	6.55	1.87
	50	0.2054	0	0.0565	0	0.069	0.0044	16.79	3.9
	100	0.2042	0	0.0989	0	0.0681	0.0059	33.37	5.99
	200	0.1889	0	0.1299	0	0.063	0.0059	66.66	9.1
	300	0.1596	0	0.1205	0	0.0542	0.0048	101.8	11.97
	500	0.1237	0	0.1139	0	0.0391	0.0035	157.9	15.32
	1000	0.0802	0	0.0814	0	0.0222	0.0017	276.49	21.24

Theta=60 deg									
	E[eV]	Rn	s[Rn]	Yn	s[Yn]	Re	Ye	EmeanR	EmeanY
	1	0.1447	0	0	0	0.067	0	0.46	0
	2	0.1759	0	0	0	0.0701	0	0.8	0
	5	0.236	0	0.0001	0	0.0902	0	1.91	0.77
	10	0.2492	0	0.0051	0	0.0971	0.0006	3.9	1.11
	20	0.2491	0	0.0282	0	0.0991	0.0029	7.96	2.04
	50	0.2564	0	0.0851	0	0.0982	0.0072	19.14	4.24
	100	0.2616	0	0.14	0	0.0999	0.0089	38.18	6.34
	200	0.2647	0	0.1821	0	0.1033	0.0087	78.07	9.57
	300	0.2435	0	0.1943	0	0.0962	0.0078	118.55	12.06
	500	0.224	0	0.2005	0	0.0822	0.0067	183.58	16.79
	1000	0.176	0	0.1549	0	0.0613	0.0036	348.21	22.94

Theta=75 deg									
	E[eV]	Rn	s[Rn]	Yn	s[Yn]	Re	Ye	EmeanR	EmeanY
	1	0.1953	0	0	0	0.1025	0	0.52	0
	2	0.2312	0	0	0	0.1109	0	0.96	0
	5	0.2768	0	0.0011	0	0.1289	0.0002	2.33	0.81
	10	0.2979	0	0.0081	0	0.1404	0.0011	4.71	1.35
	20	0.3045	0	0.0341	0	0.139	0.0041	9.13	2.38
	50	0.3425	0	0.1103	0	0.1542	0.0105	22.51	4.77
	100	0.3639	0	0.1947	0	0.1618	0.0136	44.46	6.96
	200	0.4137	0	0.2474	0	0.1971	0.0135	95.31	10.93
	300	0.4225	0	0.2849	0	0.2057	0.013	146.06	13.71
	500	0.4139	0	0.2998	0	0.2056	0.0114	248.33	19.09
	1000	0.3672	0	0.2881	0	0.1776	0.0078	483.63	27.07

