$ ION e H [+0] (G)
& RC   #JANRD
! Reaction No. H.4 2.1.5 Johnson from EIRENE's AMJUEL file
 1.0e-05   1.0e+10   1.0e+00  1.0e+00
 -3.292723269646e+01  1.424886024265e+01 -6.540526605956e+00  
  2.027898893681e+00 -4.362748157188e-01  6.208573591302e-02  
 -5.499370057040e-03  2.729284708856e-04 -5.779677633342e-06  
  9.255653507982e-02 -1.509118751048e-01  1.024636094708e-01  
 -5.557174147458e-02  2.221434380034e-02 -5.259304441189e-03  
  6.819665871847e-04 -4.479532939852e-05  1.165033040674e-06  
 -7.551435265793e-02  1.103698579180e-01 -3.894676663938e-02  
  7.875233509656e-03 -3.534289787736e-03  1.197484647853e-03  
 -1.882630357526e-04  1.343688592364e-05 -3.549835794853e-07  
  3.174902685513e-02 -4.261489787960e-02  1.085452775487e-02  
  1.167954539158e-03 -5.504400157855e-04  2.813955984090e-06  
  1.098714234793e-05 -9.846445931745e-07  2.213433496208e-08  
 -6.526325493710e-03  8.500913736835e-03 -2.173181043398e-03  
 -2.251201679206e-04  1.319332058134e-04 -1.334377283048e-05  
  3.706215832010e-07 -2.591208529587e-08  2.695566735803e-09  
  7.597051936656e-04 -9.392574604558e-04  2.468065226333e-04  
  8.929609473278e-06 -7.996764994908e-06  4.723646495312e-07  
  5.807466649951e-09  4.916227723230e-09 -4.744112876983e-10  
 -5.010422694043e-05  5.646245750088e-05 -1.324591282144e-05  
 -7.343379570671e-07  3.364288165607e-07  1.075028846601e-08  
 -3.314701221386e-09 -3.029397380918e-10  3.462575223494e-11  
  1.772257360025e-06 -1.716427211045e-06  2.553694122515e-07  
  9.207288641170e-08 -2.366605055192e-08  1.218355544358e-09  
 -5.578758553254e-11  2.214838569490e-11 -1.534936194023e-12  
 -2.619282499789e-08  2.042791321118e-08  3.810403602111e-10  
 -2.989283667395e-09  7.434543090391e-10 -8.139063797714e-11  
  7.243099473764e-12 -6.827023476235e-13  3.066388572127e-14  
$ ION e H [+0] (G)
& EK   #JANRD
! Reaction No. H.10 2.1.5 Johnson from EIRENE's AMJUEL file
 1.0e-05   1.0e+10   1.0e+00  1.0e+00
 -2.508138423222e+01  9.962671323112e+00 -4.778204453230e+00  
  1.632371915421e+00 -3.869116546583e-01  5.923921675218e-02  
 -5.521714571979e-03  2.838461334579e-04 -6.160105668415e-06  
  6.396996517850e-03  3.856407450173e-03 -2.633542345235e-03  
  5.841974035518e-05  1.978138055099e-04 -7.384884931362e-05  
  1.551932142169e-05 -1.628975976606e-06  6.353004895449e-08  
 -7.103847351985e-03 -4.942037334785e-03  3.936091321301e-03  
 -9.496764282718e-04  2.138240864775e-04 -3.456212764343e-05  
 -2.441164914944e-07  5.533808763004e-07 -3.375244564098e-08  
  3.041260550663e-03  2.272404404334e-03 -1.581015690151e-03  
  2.529030985003e-04 -4.394973129083e-05  1.153601884162e-05  
 -5.973536545121e-07 -1.170130609731e-07  9.391285996312e-09  
 -6.573813807950e-04 -5.867300874441e-04  3.769151585383e-04  
 -3.963427548096e-05 -1.020623924738e-07 -9.833993847173e-07  
  9.822585605790e-08  1.514574600556e-08 -1.431168861641e-09  
  7.856550913205e-05  8.967840928932e-05 -5.807937600515e-05  
  7.078669981353e-06  1.828769168856e-07  4.998980774409e-08  
 -1.242961704909e-08 -8.071306690428e-10  1.156818607366e-10  
 -5.250748074195e-06 -7.752119557546e-06  5.193893590739e-06  
 -8.271414981316e-07  2.203430883820e-08 -3.958364841108e-09  
  1.042820759491e-09  9.919204677387e-13 -4.956682457545e-12  
  1.831073043669e-07  3.436717882283e-07 -2.350489360361e-07  
  4.359653421027e-08 -2.202138936697e-09  1.153481457519e-10  
 -2.913458100188e-11  3.553176284232e-13  1.265685177280e-13  
 -2.576553804397e-09 -5.995750101064e-09  4.101895708859e-09  
 -8.042234085268e-10  3.919684891622e-11  1.793104962521e-12  
 -1.160179702701e-13  1.990671676605e-14 -2.018968118728e-15  

