R (m)	n_e (m**-3)	T_e (eV)	T_i (eV)
0.275984	1.97750e+19	29.89208	29.89208						
0.389197	2.35335e+19	181.63790	181.63790						
0.467415	2.12031e+19	287.34277	287.34277						
0.617876	1.75266e+19	546.93270	546.93270						
0.686409	1.69150e+19	709.23848	709.23848						
0.809310	2.03750e+19	983.75531	983.75531						
0.915366	2.23838e+19	1043.71000	1043.71000						
1.007420	2.10072e+19	1082.97450	1082.97450						
1.088000	2.05923e+19	1071.19040	1071.19040						
1.191700	1.94548e+19	974.71864	974.71864						
1.251640	1.60060e+19	787.01872	787.01872						
1.305630	1.49723e+19	605.81232	605.81232						
1.330680	1.71285e+19	463.98067	463.98067						
1.377420	2.15423e+19	340.66181	340.66181						
1.420200	1.92233e+19	236.21495	236.21495						
1.459600	1.84762e+19	152.40176	152.40176						
1.478170	1.93968e+19	118.47226	118.47226						
1.513330	2.90946e+18	11.49519	11.49519						
1.529990	9.56862e+17	7.49976		7.49976						
1.561700	1.25386e+17	8.10219		8.10219						
